iso3c,location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths,demography_adjusted_ifr_percent,aged_65_older_pct
CIV,Ivory Coast,2021-02-15,7665.018180864474,63709.02199177169,52.384,10.858,0,1.625,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-10-12,0,41717.09793683791,9.967,-21.846,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-05-02,10053.18879293525,55839.28330322157,46.691,13.851,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-10-11,20411.340549043598,71345.09692844612,51.912,22.862,2551.241085434169,3.625,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-01-25,0,61755.70597533661,49.25,-0.009,0,0.625,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-08-29,12486.539103253896,54406.9456822072,37.46,8.069,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-06-08,3526.8401944740203,47915.89372300212,12.133,-29.343,0,0.625,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2022-01-10,46459.554387293574,90382.69227764054,80.911,43.352,5761.823392173129,2.25,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2020-02-03,2664.896263838956,12250.757553022846,4.712,-3.682,0,NA,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-06-14,11906.968286667994,53453.23048950616,44.199,16.867,0,0,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-08-09,16306.34140355392,62659.29994029393,55.467,23.099,2941.621915607134,1.375,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-08-30,21511.18382826508,83004.28280753597,72.914,30.472,5908.657411478692,5.125,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-05-31,17099.80985403206,55069.11063465248,45.09,19.467,0,0.875,FALSE,0.141656545931055,2.933
CIV,Ivory Coast,2021-03-01,0,65797.87710295036,48.325,-13.577,0,0.875,FALSE,0.141656545931055,2.933
