custom_regions,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
European Union,2020-05-11,447593544,0.08577925946127532,0.08577925946127532,0.08577925946127532,0.08577925946127532,0.08577925946127532,0.08577925946127532,0.08577925946127532,2.3160400054544334,0.08577925946127532,0.24100302930195971
North America,2020-05-11,375152636,0.4441867933361066,0.4441867933361066,0.4441867933361066,0.4441867933361066,0.4441867933361066,0.4441867933361066,0.4441867933361066,0.8883735866722132,0.4441867933361066,0.48532619133722416
Latin America and Caribbean,2020-05-18,655119303,0.49948038513442233,0.5151575620944737,0.5095407941340214,0.49948038513442233,0.4884574543903894,0.48377232562667327,0.48350062332208643,23.606738790207118,0.4918070581293149,0.25585355099817597
Asia,2020-05-18,4666863690,0.05688815115855657,0.14681989549277433,0.12688021790960824,0.06786359781308247,0.029563064796995626,0.0029610428717137113,-0.014510983314076596,-0.1320717393779417,-0.0026953416199579938,0.00799761234651931
Oceania,2020-05-18,44446737,-0.0625301778269768,-0.008350044342312693,-0.018517883890706615,-0.039323425174400274,-0.06696226532772336,-0.08656282773144137,-0.08950230729002559,-0.8992639772813397,-0.039098433794840855,6.43466808373357e-4
European Union,2020-05-18,447593544,0.06059059026481646,0.06059059026481646,0.06059059026481646,0.06059059026481646,0.06059059026481646,0.06059059026481646,0.06059059026481646,1.6359459371500442,0.06059059026481646,0.19129870797838558
North America,2020-05-18,375152636,0.33416681279067817,0.33416681279067817,0.33416681279067817,0.33416681279067817,0.33416681279067817,0.33416681279067817,0.33416681279067817,0.6683336255813563,0.33416681279067817,0.40711056072654117
Latin America and Caribbean,2020-05-25,655119303,0.524103561208917,0.53790608652763094,0.5353047366210205,0.524103561208917,0.5126574859503401,0.5078431143553443,0.5069994915012711,24.677409643050442,0.5141127008968842,0.3062694063221642
Asia,2020-05-25,4666863690,0.4137481427697375,0.5040220036022525,0.49847343607805733,0.4137481427697375,0.05470779326146394,0.0064559839917410515,-0.012666686110473613,-0.2176491263617906,-0.004441818905342664,0.008179261820265422
Oceania,2020-05-25,44446737,-0.07920008699966088,-0.0355887001556806,-0.04484253033988802,-0.06462615566163364,-0.09295666828644945,-0.11431242888696767,-0.11582810299663952,-1.5024900042319427,-0.06532565235791056,0.001286933616746714
European Union,2020-05-25,447593544,0.00723606096637033,0.00723606096637033,0.00723606096637033,0.00723606096637033,0.00723606096637033,0.00723606096637033,0.00723606096637033,0.1953736460919989,0.00723606096637033,0.1369038960043624
North America,2020-05-25,375152636,0.275592558992055,0.275592558992055,0.275592558992055,0.275592558992055,0.275592558992055,0.275592558992055,0.275592558992055,0.55118511798411,0.275592558992055,0.31514799218950446
Latin America and Caribbean,2020-06-01,655119303,0.5401302404584228,0.557282452930407,0.5563786539531274,0.5454472448236516,0.53120456504295,0.5254360651693782,0.5230732458876827,25.123996158918363,0.5234165866441325,0.31036881231997526
Asia,2020-06-01,4666863690,0.18360498607923945,0.34027337316520107,0.33349828471458187,0.19952294915847463,0.11907170499663086,0.06715943108713852,0.04285760088886037,0.3836762925601534,0.007830128419594967,0.010710790655211959
Oceania,2020-06-01,44446737,-0.11730995017444566,-0.06086661441843974,-0.07165442539160838,-0.10268831613708859,-0.13236770853954094,-0.15152797923927433,-0.15500048397820082,-2.4033037223401257,-0.10449146618870113,3.749806575602313e-4
European Union,2020-06-01,447593544,0.04853706890970441,0.04853706890970441,0.04853706890970441,0.04853706890970441,0.04853706890970441,0.04853706890970441,0.04853706890970441,1.310500860562019,0.04853706890970441,0.08265415612577887
North America,2020-06-01,375152636,0.2175742693758949,0.2175742693758949,0.2175742693758949,0.2175742693758949,0.2175742693758949,0.2175742693758949,0.2175742693758949,0.4351485387517898,0.2175742693758949,0.2734508308239636
Latin America and Caribbean,2020-06-08,655119303,0.5679030355768296,0.5806165478286162,0.5801028345493562,0.5716883896858674,0.5588316545696741,0.5509228763429806,0.5504821733202383,26.42686027032957,0.5505595889651994,0.38516434921777903
Asia,2020-06-08,4666863690,0.15749408488520647,0.2947318328683036,0.28036583697274836,0.20970565524386714,0.1304744680401551,0.07471154549391802,0.04906466392855327,0.44278879687244455,0.009036506058621318,0.013444403815445486
Oceania,2020-06-08,44446737,-0.08531209168126419,-0.03291427619752463,-0.04027157705853414,-0.07131543065401574,-0.10159368260262645,-0.12245397478240337,-0.1259497156034836,-1.740937888825733,-0.075692951688075355,0
European Union,2020-06-08,447593544,0.026782637936181092,0.026782637936181092,0.026782637936181092,0.026782637936181092,0.026782637936181092,0.026782637936181092,0.026782637936181092,0.7231312242768895,0.026782637936181092,0.05901425602331744
North America,2020-06-08,375152636,0.18964658914191476,0.18964658914191476,0.18964658914191476,0.18964658914191476,0.18964658914191476,0.18964658914191476,0.18964658914191476,0.3792931782838295,0.18964658914191476,0.22097672265856078
Latin America and Caribbean,2020-06-15,655119303,0.5704208160717379,0.5871269414853906,0.5844813917273332,0.5757450146548905,0.5612656549657236,0.5533589800204743,0.553015400869471,26.470908953867063,0.5514772698722304,0.3709466335172237
Asia,2020-06-15,4666863690,0.17146403303333296,0.2920900530463025,0.2753346821964035,0.2168719583105617,0.1462992279623916,0.07418990005951563,0.054883011460779466,0.3384772008335203,0.006907697976194292,0.01686355231858079
Oceania,2020-06-15,44446737,-0.12034889101941511,-0.06811251280740885,-0.07752691370721775,-0.10550147307691242,-0.13434384014376158,-0.15713508617971658,-0.16014962200846017,-2.539325277436822,-0.1104054468450792,0
