continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Asia,2020-05-18,4695793204,1981.4735652745267,6511.971744331678,5191.387118325031,3220.1267889925175,1230.3699300466733,-212.6503523275722,-594.4026394112574,-5778.418842358046,-115.56837684716092,373.52366666666666
Africa,2020-05-18,1425436439,-11.16200519367793,2437.4440225047188,1888.6457145906868,822.0496268825133,-417.2473048473727,-1754.5806600763576,-2521.664127901196,20197.628123370567,360.6719307744744,70.359
"Europe, United States, Canada, and Oceania",2020-05-18,1168254059,2509.0873589394328,2540.0217312313466,2533.5432182467807,2522.126406658114,2508.9735986875057,2499.2619019110057,2495.6237187688403,189052.21914628398,2520.6962552837863,2952.6706666666664
Latin America and Caribbean,2020-05-25,659285500,3394.8575477779855,3459.3538789160766,3445.094475351264,3394.8575477779855,3304.4255140656683,3270.402860330522,3264.7650038704187,158472.07142879607,3301.5014880999183,2006.43
Asia,2020-05-25,4695793204,1915.5595229749438,21122.871858400813,18462.00465895826,4642.028629789275,1370.8424515261634,-151.864189027827,-533.5759791791047,-10355.13312807236,-207.1026625614472,381.858
Africa,2020-05-25,1425436439,71.63296563158443,2446.221034051051,2017.3541951120653,1008.5991031918634,-362.9195165817362,-1785.7040700557873,-2600.0885880967044,15218.42812337055,271.7576450601884,93.62033333333333
"Europe, United States, Canada, and Oceania",2020-05-25,1168254059,1931.21013839494,1959.9191924483234,1954.2040222327676,1944.4112593379691,1931.21013839494,1921.4667190132227,1920.0367340508267,145716.36200342613,1942.8848267123485,2272.346
Latin America and Caribbean,2020-06-01,659285500,3498.0313192752346,3625.144689744709,3598.511160159489,3519.0470986408272,3426.256701535401,3385.80200282493,3373.8602832412626,161766.29152096232,3370.131073353382,2033.286
Asia,2020-06-01,4695793204,4225.814721588237,15415.17632516492,12503.116633144393,7418.4555569569775,3960.0826594839114,2445.187644428986,1935.681806727046,18447.762417242528,368.95524834485053,500.144
Africa,2020-06-01,1425436439,1030.9781950233198,3579.981212354861,2981.5553998044866,1982.9146530781527,716.8505267096488,-610.2467503831288,-1421.0352976022114,65248.55027390827,1165.1526834626477,123.62133333333334
