custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Latin America and Caribbean,2020-06-08,660385158,25.115497076383917,25.9024748914382,25.681480553060197,25.115497076383917,24.387780362005593,23.77822622564824,23.74769569780093,1291.4317583501272,24.835226122117835,14.557059291147787
Asia,2020-06-08,4694897197,-0.7999810430140705,2.541563353978825,2.4697634077427493,-0.5252777453164758,-4.045992607853971,-7.136606023158246,-8.953997441448818,-105.17611042428058,-2.1464512331485834,0.746749663068288
Oceania,2020-06-08,45038907,-1.5115241945490254,4.689993195764058,4.5952775999987034,1.4422496848617057,-1.9097964247719135,-3.728253621852063,-4.133724191926753,-6.582540506474403,-0.2742725211031,0.30201443387602633
European Union,2020-06-08,450146793,30.47933534440243,30.47933534440243,30.47933534440243,30.47933534440243,30.47933534440243,30.47933534440243,30.47933534440243,822.9420542988655,30.47933534440243,26.838656162546513
North America,2020-06-08,376744184,40.69776583674162,40.69776583674162,40.69776583674162,40.69776583674162,40.69776583674162,40.69776583674162,40.69776583674162,81.39553167348323,40.69776583674162,31.7804553022642
Latin America and Caribbean,2020-06-15,660385158,29.03406035429815,29.995409452560946,29.677002089072502,29.03406035429815,28.26874040219603,27.651358722484197,27.58422880929325,1487.6226897195374,28.608128648452645,17.376324953687103
Asia,2020-06-15,4694897197,0.10516136996236024,4.064253587770042,3.6599751200485575,0.5558668485498732,-3.0719271288164234,-6.517387533189775,-8.103787356598222,-102.93789723447122,-2.100773412948392,0.8587012730707083
Oceania,2020-06-15,45038907,-2.3783002128857738,4.180909743279422,3.99180751515712,0.6388595541394744,-2.81470823173198,-4.835443558901908,-5.163170832742948,-24.649522570339748,-1.0270634404308228,0.30201443387602633
European Union,2020-06-15,450146793,30.291661552360342,30.291661552360342,30.291661552360342,30.291661552360342,30.291661552360342,30.291661552360342,30.291661552360342,817.8748619137293,30.291661552360342,27.178770104000275
North America,2020-06-15,376744184,42.0820073112563,42.0820073112563,42.0820073112563,42.0820073112563,42.0820073112563,42.0820073112563,42.0820073112563,84.1640146225126,42.0820073112563,33.29740055124514
